title,channel_id,description,subscriber_count,view_count,normalized_subscribers,normalized_views
Economía y finanzas,UC07aOkTp6Kvut3sXtrzvQHA,Sin descripción,3,381,3.0581039755351682e-06,4.094867825630623e-07
Economía y Finanzas,UCKKql89zJTNtR5HKZO0VJUQ,Sin descripción,0,8,0.0,8.598147665366137e-09
DR Finanzas,UCy4fRy232xU8DSLT7Fbf82g,"Un canal creado para fomentar la educación financiera, aprender de finanzas personales, finanzas corporativas, finanzas públicas etc.
Además aprende de contabilidad, economía y excel. 
Tutoriales, cursos y clases para crecer tu formación.",2420,257161,0.0024668705402650357,0.0002763885314716527
Editorial Economía y Finanzas,UCpaiYHEkah_iZr8Cv46q8Zg," En el año 1968 fue fundada nuestra empresa por el Dr. Teodoro Nichtawitz. Hoy la dirige el Dr. César Talledo Mazú. Desde su inicio su misión fue publicar manuales que trataran los regímenes legales concernientes al ámbito empresarial. Sus notas distintivas fueron y siguen siéndolo la sistematización de las normas tratadas, la inclusión de comentarios, jurisprudencia e informes y su actualización permanente.

Así nacieron nuestros manuales sobre los regímenes tributario, laboral, societario, aduanero y los de competencia del Indecopi, con ostensible presencia en el mercado peruano.

Hoy, en la era digital, estamos abocados a brindar información legal vía internet en los mencionados ámbitos con la calidad de contenido que nos caracteriza. ",0,16780,0.0,1.8034614728105473e-05
Moconomy - Economía y Finanzas,UCkcpcQv9rKFqWRO5ocqKZPg,"Moconomy® muestra documentales sobre negocios y finanzas.


COPYRIGHT / IMPORTANT: All Rights Reserved! All of the films published by us are legally licensed. We have acquired the rights (at least for specific territories) from the rightholders by written contract. If you have questions please send an email to: info[at]moconomy.tv, Moconomy GmbH, www.moconomy.tv.",238000,34178702,0.24260958205912334,0.03673419085081812
Gastón Pérez - Finanzas Personales,UC7e0Vos7HfCaq257UBc6f6g,"🙋🏻‍♂️ Soy Gastón, inversor y apasionado por las finanzas personales. 
📺 En este canal analizo diferentes mecanismos de inversión, hablamos de libertad financiera, tips de ahorro, análisis de empresas, entre otras cosas.
📍Vivo en Montevideo, Uruguay pero el contenido del canal aplica a inversores de cualquier parte del mundo (exceptuando algunos videos puntuales para el mercado Uruguayo). 

SUSCRIBITE a este canal y seguime en redes sociales @finanzasgaston

",21000,1025193,0.021406727828746176,0.0011018450999374632
Finanzas con Gus,UCrr-NczCJHrwi1oBS97uwnw,"Las finanzas personales y el éxito financiero: lo que nunca nos enseñaron en la escuela. Este canal tiene como propósito educar al público sobre los principios de las finanzas personales y la economia. 

Para partnerships y asuntos de negocios, por favor mandarme un email.

Este no es y no debe considerarse como una guía de inversión. La información en este canal son una expresión subjetiva de los puntos de vista y la opinión personal de Gus y, bajo ninguna circunstancia, el contenido publicado en el mismo debe tratarse como asesoramiento financiero o de inversión. No debe tomar decisiones financieras basadas únicamente en el contenido de este canal: usted es el único responsable de las decisiones y acciones de inversión que realice.

Hacer Trading es arriesgado y podrías perder parte o todo el capital invertido. La información proporcionada tiene fines informativos y educativos únicamente y no representa ningún tipo de asesoramiento financiero y/o recomendación de inversión
",558000,51311183,0.5688073394495413,0.05514764103982808
Economía y Finanzas,UClQpqnV5TIr8TFhoFeAs8rg,"Economía y Finanzas transmite documentales y otros videos sobre temas económicos, de negocios e inversiones.",0,4,0.0,4.299073832683069e-09
ECONOMIA Y FINANZAS PERSONALES,UCp-1n_ih0NSn88bMYI-86ZA,"HOLA AMIGOS 👋 SOY JAVIER CASSAB

BIENVENIDOS A MI CANAL "" ECONOMIA Y FINANZAS PERSONALES""

EN ESTE CANAL ENCONTRARAN TUTORIARES  SOBRE TRANFERENCIAS BANCARIAS DE DIFERENTES ENTIDADES, ASI COMO INFORMACIÓN RELACIONADA CON CUENTAS Y MUCHO MAS !!


https://www.youtube.com/@economiayfinanzas6998",917,287543,0.0009347604485219164,0.0003090421467677969
ECONOMÍA Y FINANZAS,UC-e4FSozlER2PM4s-fOTP6w,Sin descripción,2700,1240994,0.0027522935779816515,0.001333781207979173
"GeoEconomia | Finanzas, Economia y Documentales",UCp4KiOIzAqEXEJTI4FCLtJA,"Entra al vertiginoso ritmo del mundo, donde nuestra constante evolución impacta nuestras vidas en múltiples direcciones. La economía, las finanzas y la trayectoria de empresas no solo moldean naciones, sino en ocasiones también forjan el destino de cada individuo. El dinero nos atrapa o nos libera. Nos guste o no, así es el mundo en que vivimos.

Bienvenido a este canal, donde encontraras historias y documentales cautivadores que se entrelazan con la esencia misma de la economía, las finanzas, las empresas y los visionarios emprendedores que han moldeado nuestra realidad. Aquí, te sumergirás en relatos reveladores que desvelan los engranajes ocultos del funcionamiento global. Descubrirás historias fascinantes de triunfos y desafíos enfrentados por audaces empresarios y la inquebrantable determinación de hombres y mujeres que transformaron el curso de nuestras vidas.

Encontrarás documentales e historias fascinantes, sobre finanzas, economía, negocios y el espíritu emprendedor



",3,8,3.0581039755351682e-06,8.598147665366137e-09
Finanzas iDatos,UCLaM9bHHYJRzteoO1ZtPPbA,"¡Bienvenidos a esta nueva aventura!

Juntos aprenderemos mas sobre las finanzas personales, economía e inversión.

Mostraremos un contenido único y de utilidad que podrás utilizar  para desarrollarte personal y profesionalmente. 

Descubrirás un mundo apasionante y totalmente desconocido para la mayor parte de la sociedad.

Aportar nuestro granito de arena para dar a conocer de que se trata la Educación Financiera

Quédate y síguenos.
Queremos aprender contigo! 🙂

#inversion #economia #educacionfinanciera #finanzaspersonales
",6120,278091,0.006238532110091743,0.0002988834353011668
Finanzas para Mortales - Educación Financiera,UCIcZI3Hwwfz-tBjrr2b8wjQ,"📚 ¿Quieres ver la #economía y las #finanzas de una manera diferente y que todos podamos entender?

👌 #FinanzasparaMortales es un proyecto de #educacionfinanciera de Banco Santander y Santander Financial Institute (SANFI) que tiene como objetivo acercar el mundo de las finanzas y la economía a los mortales, dos mundos que muchas veces parece que no se entienden, pero que se necesitan. Te esperamos en:

🔗 http://www.finanzasparamortales.es
",9820,816877,0.01001019367991845,0.0008779536338051618
