title,link_canal,subscriber_count,view_count,normalized_views
Negocios TV,https://www.youtube.com/channel/UCwd8Byi93KbnsYmCcKLExvQ,981000,930432962,1.0
Eduardo Rosas - Finanzas Personales,https://www.youtube.com/channel/UCBxr1muciHdRtlygUhruARw,926000,76646604,0.0823773524051053
Finanzas con Gus,https://www.youtube.com/channel/UCrr-NczCJHrwi1oBS97uwnw,558000,51311183,0.055147641039828
Moconomy - Economía y Finanzas,https://www.youtube.com/channel/UCkcpcQv9rKFqWRO5ocqKZPg,238000,34178702,0.0367341908508181
Silvia Finanzas Inteligentes,https://www.youtube.com/channel/UCPL8GZd3pfcUJJjs-U655lg,209000,18124110,0.0194792217604173
Luis - Inversión y Finanzas,https://www.youtube.com/channel/UCHk3AYa-vLhutl5FtYnLi-A,87100,15486975,0.0166449122424792
MegaTop - Finanzas,https://www.youtube.com/channel/UCcqU0WqcZGmV9pbum_7E00w,45300,6371800,0.0068482096617724
Ministerio de Economía y Finanzas del Perú,https://www.youtube.com/channel/UCHIuXXO2ZLocViLR3Ir2uaQ,62900,2748117,0.0029535894709628
ECONOMÍA Y FINANZAS,https://www.youtube.com/channel/UC-e4FSozlER2PM4s-fOTP6w,2700,1240994,0.0013337812079791
Gastón Pérez - Finanzas Personales,https://www.youtube.com/channel/UC7e0Vos7HfCaq257UBc6f6g,21000,1025193,0.0011018450999374
Finanzas para Mortales - Educación Financiera,https://www.youtube.com/channel/UCIcZI3Hwwfz-tBjrr2b8wjQ,9820,816877,0.0008779536338051
Dani Fernandez: canal economia,https://www.youtube.com/channel/UCi7B3XBQ5NswO-tawUGMCOA,12100,665838,0.0007156216806515
Finanzas Para Ti,https://www.youtube.com/channel/UCDnMoP3VSZjGwYbMiV2N0cg,7410,406961,0.0004373888465056
ECONOMIA Y FINANZAS PERSONALES,https://www.youtube.com/channel/UCp-1n_ih0NSn88bMYI-86ZA,917,287543,0.0003090421467677
Finanzas iDatos,https://www.youtube.com/channel/UCLaM9bHHYJRzteoO1ZtPPbA,6120,278091,0.0002988834353011
Economía y Finanzas,https://www.youtube.com/channel/UCQQAlsntLHUTl1dBvIuDq-A,1970,261521,0.0002810745219492
DR Finanzas,https://www.youtube.com/channel/UCy4fRy232xU8DSLT7Fbf82g,2420,257161,0.0002763885314716
Geoeconomía y finanzas,https://www.youtube.com/channel/UCn8SVbia5tHM_PzymdU80Fg,2910,252483,0.0002713607646243
AUDIOLIBROS ECONOMIA Y FINANZAS ,https://www.youtube.com/channel/UCZa-aJt-HQl7TP33FLsXtQw,3730,249247,0.0002678828138936
Finanzas Economía y Trading,https://www.youtube.com/channel/UC9bnENUsaANxQJJAU6BfqAQ,2640,134840,0.0001449217788997
Economia y finanzas,https://www.youtube.com/channel/UCbjIwcbSGNNanSS_fDvre_Q,1400,106935,0.0001149303650744
Cosas de Finanzas,https://www.youtube.com/channel/UCBu3cQaQjGclj1TKS7MZkoA,1160,101891,0.0001095092329714
Ministerio de Economía y Finanzas Uruguay,https://www.youtube.com/channel/UCu6vr8WRDa_4vxKeZZS7sxg,759,73892,7.941679091115433e-05
Fredy Andrade - Economía Y Finanzas,https://www.youtube.com/channel/UCRoyHym32DruHGpJIJuFEUg,594,67777,7.284458178944009e-05
Juan Mancera - Economía y Finanzas,https://www.youtube.com/channel/UCAu9NAiSjA9luIhXBGxJO0A,628,44329,4.764341098225194e-05
PROFE JULIO SEGURA ECONOMÍA Y FINANZAS ,https://www.youtube.com/channel/UCPS-6eDG7DVduy4fyfT96bw,1180,32112,3.4512964728779675e-05
Editorial Economía y Finanzas,https://www.youtube.com/channel/UCpaiYHEkah_iZr8Cv46q8Zg,0,16780,1.8034614728105476e-05
El Rincón de la Economía,https://www.youtube.com/channel/UC1674yvtgycTZxonFBd7vhw,1160,14114,1.5169282018622209e-05
Economía y Finanzas,https://www.youtube.com/channel/UCNLie8stdNpb3BhARDkxQJg,38,8875,9.53857006626556e-06
Economía y Finanzas,https://www.youtube.com/channel/UCY63lMjIM2CKFgVt0s0MfsQ,17,8426,9.055999028546884e-06
Lorena Alvarez Finanzas Personales ,https://www.youtube.com/channel/UC-cu8Ir0HQTbIG-2eA53_6g,126,6751,7.255761861110849e-06
Economía y Finanzas Personales,https://www.youtube.com/channel/UCT2awhPiC7biJ1DPgiihoyw,124,4395,4.723607373660522e-06
