title,link_canal,subscriber_count,view_count,normalized_views,rank
Eduardo Rosas - Finanzas Personales,https://www.youtube.com/channel/UCBxr1muciHdRtlygUhruARw,927000,76801191,1.0,1.0
Finanzas con Gus,https://www.youtube.com/channel/UCrr-NczCJHrwi1oBS97uwnw,558000,51322992,0.6682577617839286,2.0
Moconomy - Economía y Finanzas,https://www.youtube.com/channel/UCkcpcQv9rKFqWRO5ocqKZPg,239000,34285311,0.4464163973707126,3.0
Silvia Finanzas Inteligentes,https://www.youtube.com/channel/UCPL8GZd3pfcUJJjs-U655lg,209000,18127030,0.2360253762210536,4.0
Luis - Inversión y Finanzas,https://www.youtube.com/channel/UCHk3AYa-vLhutl5FtYnLi-A,87100,15488296,0.2016673934132089,5.0
MegaTop - Finanzas,https://www.youtube.com/channel/UCcqU0WqcZGmV9pbum_7E00w,45200,6371863,0.0829656795296312,6.0
Ministerio de Economía y Finanzas del Perú,https://www.youtube.com/channel/UCHIuXXO2ZLocViLR3Ir2uaQ,63000,2756667,0.0358935449321352,7.0
ECONOMÍA Y FINANZAS,https://www.youtube.com/channel/UC-e4FSozlER2PM4s-fOTP6w,2700,1241618,0.0161666503322845,8.0
Gastón Pérez - Finanzas Personales,https://www.youtube.com/channel/UC7e0Vos7HfCaq257UBc6f6g,21100,1028897,0.0133968885977302,9.0
Finanzas para Mortales - Educación Financiera,https://www.youtube.com/channel/UCIcZI3Hwwfz-tBjrr2b8wjQ,9820,817467,0.0106439364983285,10.0
Dani Fernandez: canal economia,https://www.youtube.com/channel/UCi7B3XBQ5NswO-tawUGMCOA,12200,668022,0.0086980682369886,11.0
Finanzas Para Ti,https://www.youtube.com/channel/UCDnMoP3VSZjGwYbMiV2N0cg,7440,408595,0.0053201648917137,12.0
ECONOMIA Y FINANZAS PERSONALES,https://www.youtube.com/channel/UCp-1n_ih0NSn88bMYI-86ZA,921,289023,0.0037632619525392,13.0
Economía y Finanzas,https://www.youtube.com/channel/UCQQAlsntLHUTl1dBvIuDq-A,1970,261688,0.003407342992897,14.0
DR Finanzas,https://www.youtube.com/channel/UCy4fRy232xU8DSLT7Fbf82g,2430,257588,0.0033539584041086,15.0
Geoeconomía y finanzas,https://www.youtube.com/channel/UCn8SVbia5tHM_PzymdU80Fg,2940,255045,0.0033208469384283,16.0
AUDIOLIBROS ECONOMIA Y FINANZAS ,https://www.youtube.com/channel/UCZa-aJt-HQl7TP33FLsXtQw,3720,249399,0.0032473324534771,17.0
Finanzas Economía y Trading,https://www.youtube.com/channel/UC9bnENUsaANxQJJAU6BfqAQ,2640,134912,0.0017566394250318,18.0
Economia y finanzas,https://www.youtube.com/channel/UCbjIwcbSGNNanSS_fDvre_Q,1400,107317,0.0013973351012225,19.0
Cosas de Finanzas,https://www.youtube.com/channel/UCBu3cQaQjGclj1TKS7MZkoA,1160,102438,0.0013338074405643,20.0
Ministerio de Economía y Finanzas Uruguay,https://www.youtube.com/channel/UCu6vr8WRDa_4vxKeZZS7sxg,759,73926,0.0009625631977504,21.0
Fredy Andrade - Economía Y Finanzas,https://www.youtube.com/channel/UCRoyHym32DruHGpJIJuFEUg,593,67826,0.0008831373461382,22.0
Juan Mancera - Economía y Finanzas,https://www.youtube.com/channel/UCAu9NAiSjA9luIhXBGxJO0A,631,44652,0.0005813972338007,23.0
PROFE JULIO SEGURA ECONOMÍA Y FINANZAS ,https://www.youtube.com/channel/UCPS-6eDG7DVduy4fyfT96bw,1190,32385,0.0004216731482718,24.0
Economía y Finanzas,https://www.youtube.com/channel/UCNLie8stdNpb3BhARDkxQJg,38,8943,0.0001164435067159,25.0
