title,channel_id,description,subscriber_count,view_count
SySolutions - Tecnología e Informática,UCYNHWN98t-9Lft3wp1H5v2A,"Es un canal dedicado a la tecnología, informática, toturisles, cursos y mucho más...!!! Encontrarás todo lo que buscas para solucionar tus problemas.",3,31
Secretaría de Tecnología Informática,UCiufzYk5GR0fJDCWSMRyfrg,"Secretaría de Tecnología Informática.
Este  es canal oficial de la Secretaría de Tecnología Informática es una institución jerárquica",178,20736
informatica tecnologia,UC1MBilfra-lPgo0d80YbEYg,,2,165
Informatica Tecnología y mas,UCSc7pHvqws8vD_MKMp7Xogw,"Mi Canal ""Informatica Tecnología y mas"" es para que aprenda todos sobre tenologia y mas espero enceñarle mucha sobre tenologia y que le gusten lo que suba en mi Canal ""Informatica Tecnología mas""",7,2554
InfoTecno :: Informática Tecnología ,UCb6vN1nyvxU8z4hFaqI3Qbg,,1,303
Binario Tecnología Informática,UCdZswlkBFznu6wVcbMvs8sQ,Canal de Binario Tecnología Informática,2,408
"QvaIT - Informática, Tecnología y Contabilidad",UCiR1aA8UIlA-ODPT8shX5ng,"Hola yo soy Juan Carlos. Este es mi canal sobre Informática, Tecnología, Contabilidad y Finanzas que puede utilizar para hacer crecer su negocio y tus conocimientos personales. Compartiremos contenido sobre transformación digital y mucho más.

Mi canal publica videos que se enfocan en Ratios y Análisis Financieros, Asientos Contable, legislación, temas tributarios y de costo, y mucho más.  Ofimática vinculada a esta esfera, en temas con Excel, y el paquete Microsoft Office, y variados contenidos sobre temas Informáticos, Odoo, Versat Sarasola, uso de las redes sociales y Tecnología. Si eso le parece que podría ser útil para usted, ¡únase a este canal! 

Suscríbase para mantenerse informado porque te estaremos compartiendo todo el conocimiento que, durante estos años, hemos venido adquiriendo de una forma u otra, en las diferentes rubros o tareas que nos ha tocado vivir en la vida, y muchos de esos Tips te los voy a estar regalando mediante los contenidos que publicaremos. 🤗🤩🤝",199,30737
Informática y Tecnología Educativa,UC3iuNS8hmKjyE6Wr1joZFRA,,103,6327
Tecnología Informática,UCpodiGJA-cCE3psYUQRYQOg,,22,16324
TecnologÍa e Informática IUC,UCyZAgRkJhNelI4tSu7hWDBA,,0,1372
Informática e tecnologia,UCJmPM6D5EiiFPS4cIlZHujg,"🤑VENDAS DE PRODUTOS DIGITAIS🤑

🏃 SEGUIDORES PARA INSTAGRAM, FACEBOOK, TIK TOK, KWAI, YOUTUBE🏃

📺TELA DE STREAMING IPTV FILMES, SEIRES , CANAIS📺
           *temos teste de 6hrs e painel para revenda*

🤖VENDA DE ROBO COM ENVIO DE MENSAGEM EM MASSA PARA WHATSAPP, SMS, EMAIL COM GEOLOCALIZAÇAO E MAUS 45 FERRAMENTAS PARA REDE SOCIAIS 🤖

🧑‍🔧🧑‍💻CONSERTO E SUPORTE EM COMPUTADORES 🧑‍💻🧑‍🔧

💲SE PODER MANDA UM PIX PARA FORTALECER MEU TRABALHO💲

 PIX: junniorgpo3@gmail.com

MEU CONTATO ZAP : https://wa.me/message/JKSAOVOV5JLNH1

👍CURTE COMENTA E COMPARTILHA MEUS VIDEOS 👍

https://www.youtube.com/@junniorgpo


🙏DEUS ABENÇOE 🙏",127,21881
Demais informática e tecnologia,UC6JzyNQHs2HJqf--TdqwkGA,"Aqui você fica ligado nas novidades e aprende tudo do mundo da tecnologia ! Além de conferir tutoriais, dicas, resolução de problemas e muito mais ! 

Sobre mim:

Sou apaixonado por tecnologia e gosto de compartilhar meu conhecimento para ajudar você a resolver problemas de forma simples e descomplicada.

Bem vindo ao canal Demais Informática !",94500,27784793
Tecnología - Informática y Más,UCHTbWDK--8FuLHehndJpcKw,,8,257
Informática y tecnología,UCxVw59CHmpNQ8udpg6GhFjA,,5,1415
Tecnologia e informatica,UCxHgFdM830w-w8OvTWdrfTA,Este canal es un complemento de las clases de tecnología e informática que imparte el docente Jose Ricardo en la I.E.D San Francisco Javier en la ciudad de Santa Marta,133,37286
Informatica y tecnologia para adultos,UCoHFzx4xny0xiqrgSaWEx1Q,"¡¡¡Bienvenidos Yayos y Yayas del mundo!!! En este canal encontraréis muchos tutoriales para aprender de manera MUY SENCILLA cómo utilizar las nuevas tecnologías y sin morir en el intento. Navegar por internet, hacer todo tipo de cosas con el ordenador, descargar aplicaciones en tu móvil, enviar emails, guardar fotos, descargar música, ver películas... 

Todo lo que podáis necesitar para haceros vuestro día a día más cómodo, explicado de una manera fácil y amena.",835,3843
Area Tecnología e Informática,UCkI4aulDXo_znWIy8jPJexA,,0,0
Tecnología con Berto,UCWHX36VXCCmQDO6eII9LfXg,"Tecnología con Berto es un canal donde nos centraremos principalmente en el software. Comentaremos pequeños trucos para tu equipo, programas interesantes para sacar el máximo partido de el, maquinas virtuales y diferentes sistemas operativos para poder ver las virtudes de cada uno de ellos. 

Me gustaría que este canal lo fuéramos dirigiendo entre tod@s para poder así llegar a la meta de su creación, una meta que tiene un objetivo claro y es la de aprender entre tod@s y disfrutar de esta pasión que nos une. 

Nos vemos en Tecnología con Berto! Un saludo a tod@s! 😉",51500,6109757
informática y tecnología ,UC3tXA1JfW0V5_OQB0bbpzEw,Subo información y tecnología de celulares,0,8
la tecnologia de la informatica,UCxH2tH1xmIEgmTX4QDHif5w,,1,30
Area Tecnología e Informática,UCnaCwS5Gwx-nXho98uptPgA,,1,272
MY TECNOLOGIA EM INFORMÁTICA,UC-zIt1TDEWsjUiZIdmqbReg,,1,27
Informática y Tecnología Libertadores,UCcTbJe6E1azTDD4oMFDD6Mw,"Colegio Inglés Libertadores
Informática y Tecnología
Primaria Menor 2020
COVID-19",21,0
Tecnologia Informatica SAB,UCQpiMHUTuBRNG_YoamBXQvQ,,3,97
TPNS Tecnologia & Informática,UC8r8Qgx4a7OigpnbWj_RBzA,"A TPNS Tecnologia & Informática trabalha com a manutenção de computadores e notebooks, gráfica rápida em Sabará e com peças e assessórios de informática. Impressão de banners, pesquisas na internet desenvolvimento de sites e recarga de cartuchos.",6260,1689482
tecnologia informatica,UC0iXFcrrudXY7llrtoIbZ-A,,8,349
Área de tecnología e informática INSEG,UCkAFCeVFP_8KMD19lbhC6nw,,0,16
Informática Y Tecnología Multimedia UCR,UCYAsq2HfTKPX-lPggAi6kbg,"Canal de la carrera Informática y tecnología multimedia, Universidad de Costa Rica, Sede del Pacífico",23,1211
Travesías Informática y Tecnología,UCIVe8ArzV0JetrqFLCl9SmA,,0,87
Tecnología Informática,UC9W0FY4jHB3u5gNOvfXImjA,Presentación de trabajos de alumnos de la Secundaria #37 en Tijuana B. C.,1,87
Tecnologia informatica,UCMjzZ4RexOFs36dqJaeGz2Q,,0,13
Tecnologia E Informática,UCIP7WMRpn8K1XacODhuIV1g,,232,80048
Tecnología Informática,UCGAV3CEFjvjQl6c1jpxrajA,,126,1313
Área de Informática y Tecnología,UC8crlgOQ_-JGhJwK-NyOpkg,"IEM Pedagógico
Jesús G. Cortés Camacho
Área de Informática y Tecnología
San Juan de Pasto 2021",13,371
Informatica e Tecnologia,UCGmV6SJk96JOEYpAeAuA2lQ,"Avete dubbi sull'utilizzo del pc e delle sue funzioni? Volete imparare come usare software, termini tecnici, e usare il proprio pc senza chiedere nulla a nessuno? Bene siete nel canale giusto, armatevi di pazienza e seguitemi per imparare il mondo dell'informatica....",139,2619
informatica tecnologia,UC91CpAznz_yU9IZ3BaCufeg,,0,58
TECNOLOGIA E INFORMATICA IEFRY,UCXsjAlLaIacMgnJKoQnC61w,,1,16
INFORMÁTICA & TECNOLOGIA,UCDjOFqOJnQwfbjma6Bjje3Q," Objetivo desse canal é ajudar as pessoas que precisam resolver seus problemas tecnológico, visando essa situação nós criamos esse canal onde ensinamos e disponibilizamos vários tipos de informações e conteúdos relativos à informática e também a tecnologia Para facilitar a vida das pessoas Levando-as a resolver seus problemas com tecnológicos  sem a burocracia de ter que esperar por longos períodos...
",3,35
Tecnologia e Informatica,UCZy5gvGOyHi8L7son6xphqw,"En este canal encuentra información relacionada con el mundo de la tecnología y la informática, ",6,364
Tecnologia e Informatica Educativa,UCpTbYg1N60MI4PoabjkHE0g,Canal educativo donde se suben videos de guías de trabajo de las asignaturas de Informática educativa y educación tecnológica,19,155
Tecnología Informática Profesional,UCNjZXDMCt2eqRw_6SzrUh7w,,3,404
"Ilogimatic - Ingeniería, Tecnología e Informática",UCjk388Ry_V4cMRbpHuQUcaw,"Tecnología, ingeniería, informática y telecomunicaciones. una empresa comprometida con el desarrollo y la aplicación de la tecnología en el entorno de nuestros clientes.

 Contamos con un amplio portafolio de servicios y personal profesional altamente calificado.",18,1423
tecnologia informatica Mercabar C.A,UCzriGTP9nLSotQfSoYMfE5w,,0,66
Informática Tecnología,UC_Eiefg-pDUdR7kOE4ANcLQ,,18,0
Canal Educativo Tecnología e Informática L.M.,UCsUihqonBSE1kTXocrUIgTA,"Canal de tecnología e informática, liceo moderno Palmira.",1,11
Iker.luciano.esfir.tecnologia II informatica,UCj4cFadWg3egs7i1mOx0K2g,,0,1
Informática & Tecnologia,UCMrXzqrlNgAQrT-RnWvpqVA,"Canal sobre informática e tecnologia em geral. Aqui você irá encontrar informações sobre computadores, laptops, redes, câmeras de segurança e outros dispositivos inteligentes modernos. Um lugar interessante para quem quer aprender sobre e progredir na carreira profissional ou apenas se atualizar sobre tecnologia em geral.",2530,170855
DESPAÑA: TECNOLOGÍA E INFORMÁTICA,UC0JsvnA0UovJBkuRCNSefIA,"Canal educativo principalmente de tecnología, informática y educación, no solo para los jóvenes sino para cualquier persona amante del aprendizaje. Soy ingeniero electrónico y un docente dispuesto a transmitir conocimientos y a aprender de ustedes a través de la retroalimentación en este espacio.",10,2874
Informatica y tecnologia,UCfOJ121cJbj7sOQSTSeL2iA,canal de informatica y tecnologia,140,39243
InfoTec Informatica y Tecnologia,UC2nF29bCkSgZN_GttXf4XDQ,,0,145
