title,link_canal,subscriber_count,view_count,normalized_views
Demais informática e tecnologia,https://www.youtube.com/channel/UC6JzyNQHs2HJqf--TdqwkGA,94500,27784793,1.0
Tecnología con Berto,https://www.youtube.com/channel/UCWHX36VXCCmQDO6eII9LfXg,51500,6109757,0.219895717776267
TPNS Tecnologia & Informática,https://www.youtube.com/channel/UC8r8Qgx4a7OigpnbWj_RBzA,6260,1689482,0.0608059955674314
Informática & Tecnologia,https://www.youtube.com/channel/UCMrXzqrlNgAQrT-RnWvpqVA,2530,170855,0.0061492270250132
Tecnologia E Informática,https://www.youtube.com/channel/UCIP7WMRpn8K1XacODhuIV1g,232,80048,0.0028810004091086
Informatica y tecnologia,https://www.youtube.com/channel/UCfOJ121cJbj7sOQSTSeL2iA,140,39243,0.0014123913034011
Tecnologia e informatica,https://www.youtube.com/channel/UCxHgFdM830w-w8OvTWdrfTA,133,37286,0.0013419570914204
"QvaIT - Informática, Tecnología y Contabilidad",https://www.youtube.com/channel/UCiR1aA8UIlA-ODPT8shX5ng,199,30737,0.0011062526181138
Informática e tecnologia,https://www.youtube.com/channel/UCJmPM6D5EiiFPS4cIlZHujg,127,21881,0.0007875171141278
Secretaría de Tecnología Informática,https://www.youtube.com/channel/UCiufzYk5GR0fJDCWSMRyfrg,178,20736,0.000746307521528
Tecnología Informática,https://www.youtube.com/channel/UCpodiGJA-cCE3psYUQRYQOg,22,16324,0.0005875156241041
Informática y Tecnología Educativa,https://www.youtube.com/channel/UC3iuNS8hmKjyE6Wr1joZFRA,103,6327,0.0002277144911606
Informatica y tecnologia para adultos,https://www.youtube.com/channel/UCoHFzx4xny0xiqrgSaWEx1Q,835,3843,0.0001383130693109
DESPAÑA: TECNOLOGÍA E INFORMÁTICA,https://www.youtube.com/channel/UC0JsvnA0UovJBkuRCNSefIA,10,2874,0.000103437876971
Informatica e Tecnologia,https://www.youtube.com/channel/UCGmV6SJk96JOEYpAeAuA2lQ,139,2619,9.426019477632962e-05
Informatica Tecnología y mas,https://www.youtube.com/channel/UCSc7pHvqws8vD_MKMp7Xogw,7,2554,9.192078558944097e-05
"Ilogimatic - Ingeniería, Tecnología e Informática",https://www.youtube.com/channel/UCjk388Ry_V4cMRbpHuQUcaw,18,1423,5.12150657375781e-05
Informática y tecnología,https://www.youtube.com/channel/UCxVw59CHmpNQ8udpg6GhFjA,5,1415,5.092713845303796e-05
TecnologÍa e Informática IUC,https://www.youtube.com/channel/UCyZAgRkJhNelI4tSu7hWDBA,0,1372,4.937952929863469e-05
Tecnología Informática,https://www.youtube.com/channel/UCGAV3CEFjvjQl6c1jpxrajA,126,1313,4.725606557515113e-05
Informática Y Tecnología Multimedia UCR,https://www.youtube.com/channel/UCYAsq2HfTKPX-lPggAi6kbg,23,1211,4.358499269726429e-05
Binario Tecnología Informática,https://www.youtube.com/channel/UCdZswlkBFznu6wVcbMvs8sQ,2,408,1.4684291511547342e-05
Tecnología Informática Profesional,https://www.youtube.com/channel/UCNjZXDMCt2eqRw_6SzrUh7w,3,404,1.454032786927727e-05
Área de Informática y Tecnología,https://www.youtube.com/channel/UC8crlgOQ_-JGhJwK-NyOpkg,13,371,1.3352627820549177e-05
Tecnologia e Informatica,https://www.youtube.com/channel/UCZy5gvGOyHi8L7son6xphqw,6,364,1.310069144657655e-05
tecnologia informatica,https://www.youtube.com/channel/UC0iXFcrrudXY7llrtoIbZ-A,8,349,1.256082778806378e-05
InfoTecno :: Informática Tecnología ,https://www.youtube.com/channel/UCb6vN1nyvxU8z4hFaqI3Qbg,1,303,1.0905245901957952e-05
Area Tecnología e Informática,https://www.youtube.com/channel/UCnaCwS5Gwx-nXho98uptPgA,1,272,9.789527674364895e-06
Tecnología - Informática y Más,https://www.youtube.com/channel/UCHTbWDK--8FuLHehndJpcKw,8,257,9.249664015852124e-06
informatica tecnologia,https://www.youtube.com/channel/UC1MBilfra-lPgo0d80YbEYg,2,165,5.938500243640469e-06
Tecnologia e Informatica Educativa,https://www.youtube.com/channel/UCpTbYg1N60MI4PoabjkHE0g,19,155,5.5785911379652895e-06
InfoTec Informatica y Tecnologia,https://www.youtube.com/channel/UC2nF29bCkSgZN_GttXf4XDQ,0,145,5.218682032290109e-06
