title,channel_id,description,subscriber_count,view_count,normalized_subscribers,normalized_views
SySolutions - Tecnología e Informática,UCYNHWN98t-9Lft3wp1H5v2A,"Es un canal dedicado a la tecnología, informática, toturisles, cursos y mucho más...!!! Encontrarás todo lo que buscas para solucionar tus problemas.",3,31,3.1746031746031745e-05,1.1157182275930579e-06
Secretaría de Tecnología Informática,UCiufzYk5GR0fJDCWSMRyfrg,"Secretaría de Tecnología Informática.
Este  es canal oficial de la Secretaría de Tecnología Informática es una institución jerárquica",178,20736,0.0018835978835978835,0.0007463075215280531
informatica tecnologia,UC1MBilfra-lPgo0d80YbEYg,Sin descripción,2,165,2.1164021164021164e-05,5.938500243640469e-06
Informatica Tecnología y mas,UCSc7pHvqws8vD_MKMp7Xogw,"Mi Canal ""Informatica Tecnología y mas"" es para que aprenda todos sobre tenologia y mas espero enceñarle mucha sobre tenologia y que le gusten lo que suba en mi Canal ""Informatica Tecnología mas""",7,2554,7.407407407407407e-05,9.192078558944095e-05
InfoTecno :: Informática Tecnología ,UCb6vN1nyvxU8z4hFaqI3Qbg,Sin descripción,1,303,1.0582010582010582e-05,1.0905245901957952e-05
Binario Tecnología Informática,UCdZswlkBFznu6wVcbMvs8sQ,Canal de Binario Tecnología Informática,2,408,2.1164021164021164e-05,1.4684291511547342e-05
"QvaIT - Informática, Tecnología y Contabilidad",UCiR1aA8UIlA-ODPT8shX5ng,"Hola yo soy Juan Carlos. Este es mi canal sobre Informática, Tecnología, Contabilidad y Finanzas que puede utilizar para hacer crecer su negocio y tus conocimientos personales. Compartiremos contenido sobre transformación digital y mucho más.

Mi canal publica videos que se enfocan en Ratios y Análisis Financieros, Asientos Contable, legislación, temas tributarios y de costo, y mucho más.  Ofimática vinculada a esta esfera, en temas con Excel, y el paquete Microsoft Office, y variados contenidos sobre temas Informáticos, Odoo, Versat Sarasola, uso de las redes sociales y Tecnología. Si eso le parece que podría ser útil para usted, ¡únase a este canal! 

Suscríbase para mantenerse informado porque te estaremos compartiendo todo el conocimiento que, durante estos años, hemos venido adquiriendo de una forma u otra, en las diferentes rubros o tareas que nos ha tocado vivir en la vida, y muchos de esos Tips te los voy a estar regalando mediante los contenidos que publicaremos. 🤗🤩🤝",199,30737,0.0021058201058201057,0.0011062526181138007
Informática y Tecnología Educativa,UC3iuNS8hmKjyE6Wr1joZFRA,Sin descripción,103,6327,0.0010899470899470899,0.00022771449116068635
Tecnología Informática,UCpodiGJA-cCE3psYUQRYQOg,Sin descripción,22,16324,0.00023280423280423282,0.0005875156241041638
TecnologÍa e Informática IUC,UCyZAgRkJhNelI4tSu7hWDBA,Sin descripción,0,1372,0.0,4.937952929863469e-05
Informática e tecnologia,UCJmPM6D5EiiFPS4cIlZHujg,"🤑VENDAS DE PRODUTOS DIGITAIS🤑

🏃 SEGUIDORES PARA INSTAGRAM, FACEBOOK, TIK TOK, KWAI, YOUTUBE🏃

📺TELA DE STREAMING IPTV FILMES, SEIRES , CANAIS📺
           *temos teste de 6hrs e painel para revenda*

🤖VENDA DE ROBO COM ENVIO DE MENSAGEM EM MASSA PARA WHATSAPP, SMS, EMAIL COM GEOLOCALIZAÇAO E MAUS 45 FERRAMENTAS PARA REDE SOCIAIS 🤖

🧑‍🔧🧑‍💻CONSERTO E SUPORTE EM COMPUTADORES 🧑‍💻🧑‍🔧

💲SE PODER MANDA UM PIX PARA FORTALECER MEU TRABALHO💲

 PIX: junniorgpo3@gmail.com

MEU CONTATO ZAP : https://wa.me/message/JKSAOVOV5JLNH1

👍CURTE COMENTA E COMPARTILHA MEUS VIDEOS 👍

https://www.youtube.com/@junniorgpo


🙏DEUS ABENÇOE 🙏",127,21881,0.001343915343915344,0.0007875171141278612
Demais informática e tecnologia,UC6JzyNQHs2HJqf--TdqwkGA,"Aqui você fica ligado nas novidades e aprende tudo do mundo da tecnologia ! Além de conferir tutoriais, dicas, resolução de problemas e muito mais ! 

Sobre mim:

Sou apaixonado por tecnologia e gosto de compartilhar meu conhecimento para ajudar você a resolver problemas de forma simples e descomplicada.

Bem vindo ao canal Demais Informática !",94500,27784793,1.0,1.0
Tecnología - Informática y Más,UCHTbWDK--8FuLHehndJpcKw,Sin descripción,8,257,8.465608465608466e-05,9.249664015852124e-06
Informática y tecnología,UCxVw59CHmpNQ8udpg6GhFjA,Sin descripción,5,1415,5.291005291005291e-05,5.0927138453037963e-05
Tecnologia e informatica,UCxHgFdM830w-w8OvTWdrfTA,Este canal es un complemento de las clases de tecnología e informática que imparte el docente Jose Ricardo en la I.E.D San Francisco Javier en la ciudad de Santa Marta,133,37286,0.0014074074074074073,0.001341957091420476
Informatica y tecnologia para adultos,UCoHFzx4xny0xiqrgSaWEx1Q,"¡¡¡Bienvenidos Yayos y Yayas del mundo!!! En este canal encontraréis muchos tutoriales para aprender de manera MUY SENCILLA cómo utilizar las nuevas tecnologías y sin morir en el intento. Navegar por internet, hacer todo tipo de cosas con el ordenador, descargar aplicaciones en tu móvil, enviar emails, guardar fotos, descargar música, ver películas... 

Todo lo que podáis necesitar para haceros vuestro día a día más cómodo, explicado de una manera fácil y amena.",835,3843,0.008835978835978836,0.00013831306931097166
Area Tecnología e Informática,UCkI4aulDXo_znWIy8jPJexA,Sin descripción,0,0,0.0,0.0
Tecnología con Berto,UCWHX36VXCCmQDO6eII9LfXg,"Tecnología con Berto es un canal donde nos centraremos principalmente en el software. Comentaremos pequeños trucos para tu equipo, programas interesantes para sacar el máximo partido de el, maquinas virtuales y diferentes sistemas operativos para poder ver las virtudes de cada uno de ellos. 

Me gustaría que este canal lo fuéramos dirigiendo entre tod@s para poder así llegar a la meta de su creación, una meta que tiene un objetivo claro y es la de aprender entre tod@s y disfrutar de esta pasión que nos une. 

Nos vemos en Tecnología con Berto! Un saludo a tod@s! 😉",51500,6109757,0.544973544973545,0.21989571777626704
informática y tecnología ,UC3tXA1JfW0V5_OQB0bbpzEw,Subo información y tecnología de celulares,0,8,0.0,2.8792728454014397e-07
la tecnologia de la informatica,UCxH2tH1xmIEgmTX4QDHif5w,Sin descripción,1,30,1.0582010582010582e-05,1.0797273170255398e-06
Area Tecnología e Informática,UCnaCwS5Gwx-nXho98uptPgA,Sin descripción,1,272,1.0582010582010582e-05,9.789527674364895e-06
MY TECNOLOGIA EM INFORMÁTICA,UC-zIt1TDEWsjUiZIdmqbReg,Sin descripción,1,27,1.0582010582010582e-05,9.717545853229858e-07
Informática y Tecnología Libertadores,UCcTbJe6E1azTDD4oMFDD6Mw,"Colegio Inglés Libertadores
Informática y Tecnología
Primaria Menor 2020
COVID-19",21,0,0.00022222222222222223,0.0
Tecnologia Informatica SAB,UCQpiMHUTuBRNG_YoamBXQvQ,Sin descripción,3,97,3.1746031746031745e-05,3.4911183250492454e-06
TPNS Tecnologia & Informática,UC8r8Qgx4a7OigpnbWj_RBzA,"A TPNS Tecnologia & Informática trabalha com a manutenção de computadores e notebooks, gráfica rápida em Sabará e com peças e assessórios de informática. Impressão de banners, pesquisas na internet desenvolvimento de sites e recarga de cartuchos.",6260,1689482,0.06624338624338624,0.06080599556743144
tecnologia informatica,UC0iXFcrrudXY7llrtoIbZ-A,Sin descripción,8,349,8.465608465608466e-05,1.256082778806378e-05
Área de tecnología e informática INSEG,UCkAFCeVFP_8KMD19lbhC6nw,Sin descripción,0,16,0.0,5.758545690802879e-07
