title,link_canal,subscriber_count,view_count,normalized_views
Medicina Televisión - Salud y bienestar,https://www.youtube.com/channel/UCPi7S1s7xStCNWkBFkHBX3A,59800,14217627,1.0
Salud Mental y Bienestar,https://www.youtube.com/channel/UC5HLkKbw7sk8HooKHs4Dx8Q,26100,1070953,0.075325720670545
PsicoTerapia Bienestar y Ayuda,https://www.youtube.com/channel/UCY4-HOZvrXlgXxPMVXVgOvw,3840,220864,0.015534519227435
SOM Salud Mental 360,https://www.youtube.com/channel/UCcV1SL8fHtXSCkLjJYRQmAQ,922,124020,0.0087229746567412
Salud Belleza y Bienestar,https://www.youtube.com/channel/UCzGiZkFTADQ8yOTgiral5lw,777,119041,0.0083727755693689
Cibersalud Bienestar Digital,https://www.youtube.com/channel/UCw2jtw6z62Y6c_lLTfo7qww,2960,117660,0.0082756426230622
TranquilaMente salud y bienestar,https://www.youtube.com/channel/UCNlHa_vBDRaqjMrU0ylhmLg,771,65809,0.0046286908497458
BienEstar Comunidad Terapéutica,https://www.youtube.com/channel/UCZ-9ejgdrQgKucxA9qk2rzg,532,58544,0.0041177054370606
Calma y Bienestar,https://www.youtube.com/channel/UC4huTb96kadliXWJ8-UTRFw,435,42249,0.0029715929388216
EMPRENDIENDO BIENESTAR,https://www.youtube.com/channel/UCk3DtwzSx-LMpCJ0op65Cvw,803,37292,0.0026229412264085
A Desalambrar el bienestar,https://www.youtube.com/channel/UCcAa4Ppj6Fx3yJpLe1XPMlA,737,28603,0.0020117984527235
AFES Salud Mental,https://www.youtube.com/channel/UCARjMshXNUzZr9a0JQcND7Q,356,27410,0.0019278885287959
Bienestar Universitario - Universidad El Bosque,https://www.youtube.com/channel/UC-Idyqm-7iEqFKtTWBZ35og,349,25470,0.0017914381914787
BIENESTAR TV,https://www.youtube.com/channel/UC31ED5yHsC_00hMw_oXj45A,880,20501,0.0014419424563606
MenteScopia - Salud mental y Neurociencia,https://www.youtube.com/channel/UC-4wH9mDkZkTFpi4aZDqwFw,219,14354,0.0010095918256963
Mujer y mamá en bienestar,https://www.youtube.com/channel/UCvm76KF2r0_6imOasrHgXFQ,67,12914,0.0009083091010897
Yoga y Bienestar ,https://www.youtube.com/channel/UCU1ZTMfSgHrtbG_xec34iSg,86,11890,0.0008362858302584
Equilibrio y Bienestar,https://www.youtube.com/channel/UCwA93rEzQEA3KPI-lkm4MSg,338,8912,0.000626827528954
BienestarTU - salud mental y estabilidad emocional,https://www.youtube.com/channel/UC3-ymdTKQ4GAzmQeBJVvRGw,24,6138,0.0004317176136355
Bienestar UAO,https://www.youtube.com/channel/UC1UQVzaSNFrA0MND-QsFvhw,29,6029,0.0004240510740646
Podcast de Salud Mental ,https://www.youtube.com/channel/UCaq5RrKF3iaFZqQ9IK1MSlA,110,5661,0.0003981677111095
Bienestar Social SICSA,https://www.youtube.com/channel/UCsKJcty3R_bHzsgO6Bshdcw,46,5428,0.0003817796035864
Salud mental y prevención ,https://www.youtube.com/channel/UCuRbIgXETlRePGbkcDVIGzA,325,4815,0.0003386641104032
Instituto para el Neurodesarrollo y Bienestar,https://www.youtube.com/channel/UCAqt1S-1r7Lwd44hJguS1bQ,614,4796,0.0003373277411202
Salud Mental y Bienestar Físico,https://www.youtube.com/channel/UCepTKUcsNP8JDGaYBWQaH0A,57,4646,0.000326777457307
Salud y Energia,https://www.youtube.com/channel/UCQhmpQsMzyr1FiO_-4ES1Mw,30,4532,0.000318759241609
A.P.I Salud Mental y Bienestar,https://www.youtube.com/channel/UC4LxvvjoX2Ry4b69bciLzug,70,3778,0.0002657264816414
AASM Asociación Argentina de Salud Mental,https://www.youtube.com/channel/UCnNT_St2CH5oP7OYzA4sVZw,698,3379,0.0002376627266983
VIVE CON SALUD Y BIENESTAR,https://www.youtube.com/channel/UChaUVho_27GPaTX-J8NMlJw,129,3354,0.0002359043460628
Movimiento Psicopolitico Salud Mental Para Todos,https://www.youtube.com/channel/UCEhov9SWziOPwcdUO7w1oAg,132,2945,0.0002071372388655
Conscientemente Salud Mental y Psicoterapia,https://www.youtube.com/channel/UCPP2dlmgaNCIjgT_kgjm5bQ,24,2392,0.0001682418592075
Cuerpo Académico Riesgo y Bienestar Social,https://www.youtube.com/channel/UCq0qND7-tZKwSBJEli07d0w,80,2276,0.0001600829730587
Balanc3 - Salud Mental Integral,https://www.youtube.com/channel/UCEY04dnJwWcT6PtlHaEiZPQ,9,729,5.1274379332078414e-05
Salud y bienestar mental,https://www.youtube.com/channel/UC2n4UTAdJPzBrNpGxdHs_xg,39,267,1.8779505187469048e-05
Salud Mental y Bienestar,https://www.youtube.com/channel/UCfdAJ2_dm5ems8C8LIVwbtw,13,230,1.617710184688345e-05
"Salud mental y bienestar, una prioridad global",https://www.youtube.com/channel/UCkB1GS-8EO8kuXJU-EI-aZA,21,177,1.2449334899558134e-05
